,address,maven_version,antler_dependency?,antler_version
0,nradov/abnffuzzer,4.0.0,1,4.7.2
1,dma-ais/AisLib,4.0.0,0,0
2,RentTheRunway/alchemy,4.0.0,0,0
3,aliyun/aliyun-odps-console,4.0.0,0,0
4,codice/alliance,4.0.0,0,0
5,icode/ameba,4.0.0,1,${antlr.version}
6,ankor-io/ankor-framework,4.0.0,0,0
7,korpling/ANNIS,4.0.0,0,0
8,yshavit/antlr-denter,4.0.0,0,0
9,antlrjavaparser/antlr-java-parser,4.0.0,1,4.5.1
10,lchaboud-restlet/antlr-sqlparser,4.0.0,1,4.3
11,janyou/ANTLR-Swift-Target,4.0.0,1,4.0.8
12,alexec/antlr-tutorial,4.0.0,1,4
13,tunnelvisionlabs/antlr4,4.0.0,1,4
14,tunnelvisionlabs/antlr4-grammar-postgresql,4.0.0,1,4.3
15,teverett/antlr4example,4.0.0,1,${antlr.version}
16,antlr4ide/antlr4ide,4.0.0,1,${antlr.version}
17,JakubDziworski/AntlrListenerVisitorComparison,4.0.0,1,4.3
18,CampagneLaboratory/ANTLR_MPS,4.0.0,1,4.3
19,waterguo/antsdb,4.0.0,1,4.3
20,apache/apex-malhar,4.0.0,0,0
21,nedap/archie,4.0.0,1,4.5.3
22,shlee89/athena,4.0.0,1,4.5.3
23,apache/atlas,4.0.0,1,${antlr4.version}
24,infraling/atomic,4.0.0,1,${antlr4.version}
25,lealone/Bats,4.0.0,0,0
26,javamonkey/beetl2.0,4.0.0,1,${antlr4.version}
27,Borisvl/bigbash,4.0.0,1,4.0.2
28,melin/bigdata-sql-parser,4.0.0,1,${antlr4.version}
29,colomoto/bioLQM,4.0.0,1,4.7.1
30,Blazebit/blaze-persistence,4.0.0,1,4.7.1
31,parrt/bookish,4.0.0,1,4.7.2
32,STAMP-project/botsing,4.0.0,1,4.7.2
33,castlemock/castlemock,4.0.0,1,${antlr.version}
34,cfparser/cfparser,4.0.0,1,${antlr.version}
35,checkstyle/checkstyle,4.0.0,1,${antlr4.version}
36,mozafari/cliffguard,4.0.0,1,4.5
37,SINTEF-9012/cloudml,4.0.0,0,0
38,timolson/cointrader,4.0.0,1,${antlr.version}
39,metadave/contact,4.0.0,1,4
40,CategoricalData/CQL,4.0.0,1,4.7.1
41,jenkinsci/credentials-plugin,4.0.0,0,0
42,crossmob/CrossMobile,4.0.0,0,0
43,cytosm/cytosm,4.0.0,0,0
44,dapeng-soa/dapeng-soa,4.0.0,0,0
45,nRo/DataFrame,4.0.0,1,4.7.2
46,datasphere-oss/datasphere-service,4.0.0,1,4.5.1
47,debezium/debezium,4.0.0,1,${antlr.version}
48,multilang-depends/depends,4.0.0,1,4.7.2
49,diqube/diqube,4.0.0,1,4.5
50,apache/directory-scimple,4.0.0,1,4.5
51,EinsamHauer/disthene-reader,4.0.0,1,4
52,haku/dlnatoad,4.0.0,1,${antlr.version}
53,Chris2011/DotNetCore-for-NetBeans,4.0.0,0,0
54,apache/drill,4.0.0,1,${antlr.version}
55,kiegroup/drools,4.0.0,1,${antlr.version}
56,dst-project/dst,4.0.0,1,${antlr.version}
57,apache/eagle,4.0.0,1,${antlr.version}
58,ebean-orm/ebean,4.0.0,1,4.7.2
59,bkiers/ecmascript-parser,4.0.0,1,${antlr4.version}
60,ehrbase/ehrbase,4.0.0,0,0
61,syhily/elasticsearch-jdbc,4.0.0,1,${antlr4.version}
62,iamazy/elasticsearch-sql,4.0.0,1,${antlr4.version}
63,yahoo/elide,4.0.0,0,0
64,JakubDziworski/Enkel-JVM-language,4.0.0,1,4.3
65,yegor256/eo,4.0.0,1,4.3
66,metadave/etp,4.0.0,1,4
67,FIXTradingCommunity/fix-orchestra,4.0.0,0,0
68,viz-centric/flair-query-language,4.0.0,1,${antlr4.version}
69,phil3k3/flink-cep-dsl,4.0.0,1,4.7.1
70,grosenberg/fluentmark,4.0.0,1,4.7.1
71,CallForSanity/Gaalop,4.0.0,0,0
72,CodeKaio/gaia,4.0.0,0,0
73,s1ck/gdl,4.0.0,1,${dep.antlr.version}
74,Pivotal-Field-Engineering/gemfire-fe,4.0.0,1,${dep.antlr.version}
75,Geomatys/geotoolkit,4.0.0,0,0
76,locationtech/geowave,4.0.0,0,0
77,codelion/gramtest,4.0.0,1,4.6
78,google/graphicsfuzz,4.0.0,1,4.6
79,Graylog2/graylog-plugin-pipeline-processor,4.0.0,1,4.6
80,Graylog2/graylog2-server,4.0.0,1,4.6
81,datathings/greycat,4.0.0,0,0
82,groovy/groovy-eclipse,4.0.0,0,0
83,jknack/handlebars.java,4.0.0,0,0
84,hawkular/hawkular-alerts,4.0.0,0,0
85,hawkular/hawkular-metrics,4.0.0,1,${version.org.antlr}
86,apache/hive,4.0.0,1,${ST4.version}
87,carrotsearch/hppc,4.0.0,1,${ST4.version}
88,HUSACCT/HUSACCT,4.0.0,1,4.6
89,MyersResearchGroup/iBioSim,4.0.0,1,4.6
90,vlsi/iec61131-parser,4.0.0,1,4.5.1-1
91,apache/incubator-druid,4.0.0,1,4.5.1-1
92,apache/incubator-pinot,4.0.0,1,4.5.1-1
93,apache/incubator-tajo,4.0.0,1,4.5.1-1
94,shunfei/indexr,4.0.0,0,0
95,gvlasov/inflectible,4.0.0,1,"
                "
96,julianthome/inmemantlr,4.0.0,1,${antlr.version}
97,snowdrop/istio-java-api,4.0.0,1,${antlr.version}
98,geosolutions-it/jai-ext,4.0.0,1,4.7.1
99,charite/jannovar,4.0.0,0,0
100,tomaszi1/Java2Cpp-Translator,4.0.0,1,4.2.2
101,ssaarela/javersion,4.0.0,0,0
102,jdbi/jdbi,4.0.0,1,4.1
103,goldmansachs/jdmn,4.0.0,0,0
104,brettwooldridge/jet,4.0.0,1,4.2.2
105,subchen/jetbrick-template-1x,4.0.0,1,4.2.2
106,subchen/jetbrick-template-2x,4.0.0,1,4.2.2
107,atlascommunity/jira-plugins-groovy,4.0.0,0,0
108,eclipse/jnosql,4.0.0,0,0
109,adamkewley/jobson,4.0.0,0,0
110,jplag/jplag,4.0.0,0,0
111,boothen/Json-Eclipse-Plugin,4.0.0,0,0
112,IBM/JSONata4Java,4.0.0,1,4.7.2
113,jsurfer/JsonSurfer,4.0.0,0,0
114,json-template/JsonTemplate,4.0.0,1,4.7
115,zhegexiaohuozi/JsoupXpath,4.0.0,1,4.7
116,radkovo/jStyleParser,4.0.0,1,4.5.3
117,JuliaComputing/JuliaDT,4.0.0,1,4.5.3
118,jyukutyo/JVM-Math-Language,4.0.0,1,4.7
119,teverett/jvmBASIC,4.0.0,1,4.7
120,k3po/k3po,4.0.0,1,4.7
121,intuit/karate,4.0.0,0,0
122,kodokojo/kodokojo,4.0.0,0,0
123,sarahBuisson/kotlin-parser,4.0.0,1,4.7
124,xcesco/kripton,4.0.0,1,4.7
125,confluentinc/ksql,4.0.0,1,${antlr.version}
126,kaiwaehner/ksql-fork-with-deep-learning-function,4.0.0,1,${antlr.version}
127,latexdraw/latexdraw,4.0.0,1,4.7.1
128,dungba88/libra,4.0.0,1,4.7
129,XiaoMi/linden,4.0.0,0,0
130,bkiers/Liqp,4.0.0,1,${antlr4.version}
131,fbacchella/LogHub,4.0.0,0,0
132,ivanyu/logical-rules-parser-antlr,4.0.0,1,4.3
133,sebastian-r-schmidt/logicaldecoding,4.0.0,1,${antlr.version}
134,logic-ng/LogicNG,4.0.0,1,${version.antlr}
135,nielsbasjes/logparser,4.0.0,0,0
136,stanford-futuredata/macrobase,4.0.0,0,0
137,MaritimeConnectivityPlatform/MaritimeCloud,4.0.0,0,0
138,zendesk/maxwell,4.0.0,1,4.5
139,brunocvcunha/mdmlang,4.0.0,1,4.5
140,apache/metron,4.0.0,1,4.5
141,s4ke/moar,4.0.0,1,4.5
142,openstack/monasca-common,4.0.0,1,4.5
143,groupon/monsoon,4.0.0,0,0
144,salesforce/mt-dynamo,4.0.0,1,4.7.2
145,bkiers/Mu,4.0.0,1,${antlr4.version}
146,raydac/mvn-golang,4.0.0,0,0
147,odiszapc/nginx-java-parser,4.0.0,1,4.5.3
148,notaql/notaql,4.0.0,1,4.2.1
149,kmizu/nub,4.0.0,1,4.3
150,bitnine-oss/octopus,4.0.0,1,4.3
151,robjg/oddjob,4.0.0,0,0
152,ojai/ojai,4.0.0,1,4.5
153,theonedev/onedev,4.0.0,1,4.5
154,ontop/ontop,4.0.0,1,4.5
155,opencast/opencast,4.0.0,1,4.5
156,opencypher/openCypher,4.0.0,1,4.5
157,jaeksoft/opensearchserver,4.0.0,0,0
158,openvalidation/openvalidation,4.0.0,0,0
159,GluuFederation/oxTrust,4.0.0,1,3.1.1
160,HSLdevcom/parkandrideAPI,4.0.0,0,0
161,bkiers/pcre-parser,4.0.0,1,${antlr4.version}
162,meridor/perspective-backend,4.0.0,1,${antlr4.version}
163,Hanmourang/Pinot,4.0.0,1,${antlr4.version}
164,apache/plc4x,4.0.0,1,${antlr4.version}
165,pmd/pmd,4.0.0,1,${antlr4.version}
166,rdclark/pptx2html,4.0.0,1,4.0.8
167,uwol/proleap-vb6-parser,4.0.0,1,${antlr.version}
168,protobufel/protobuf-el,4.0.0,1,${antlr.version}
169,protostuff/protostuff-compiler,4.0.0,1,4.0.8
170,linqs/psl,4.0.0,0,0
171,raphydaphy/Q-Programming-Language,4.0.0,1,4.5.1
172,quarkusio/quarkus,4.0.0,1,4.5.1
173,renekrie/querqy,4.0.0,1,4.5.1
174,chanedi/QuickProject,4.0.0,1,4.5.1
175,cmu-able/rainbow,4.0.0,1,4.5.1
176,tjitze/RankPL,4.0.0,1,4.5
177,Refactoring-Bot/Refactoring-Bot,4.0.0,1,4.7.2
178,yegor256/requs,4.0.0,1,4.7.2
179,ClemsonRSRG/RESOLVE,4.0.0,1,4.2
180,daqcri/rheem,4.0.0,1,${antlr.version}
181,RoboZonky/robozonky,4.0.0,1,${version.org.antlr}
182,fizzed/rocker,4.0.0,1,${version.org.antlr}
183,rockscript/rockscript,4.0.0,0,0
184,rpgleparser/rpgleparser,4.0.0,1,4.5.3
185,bkiers/rrd-antlr4,4.0.0,1,${antlr4.version}
186,RumbleDB/rumble,4.0.0,1,4.7
187,runelite/runelite,4.0.0,1,4.7
188,devinfrench/runelite-ext,4.0.0,1,4.7
189,btrplace/scheduler,4.0.0,0,0
190,PennState/SCIMple-Identity,4.0.0,0,0
191,osiam/server,4.0.0,0,0
192,collectionspace/services,4.0.0,0,0
193,TeamShadow/shadow,4.0.0,1,4.7
194,UCL-CREST/Siamese,4.0.0,1,4.7
195,siddhi-io/siddhi,4.0.0,1,4.7
196,alibaba/simplehbase,4.0.0,1,4
197,graalvm/simplelanguage,4.0.0,1,4
198,skalogs/SkaETL,4.0.0,1,4
199,smartdec/smartcheck,4.0.0,1,4.7
200,YouthLin/SNL-Compiler,4.0.0,0,0
201,Soothsilver/snowride,4.0.0,1,4.7.2
202,Riverside-Software/sonar-openedge,4.0.0,1,4.7.2
203,sagap/sonar-solidity,4.0.0,1,4.7.2
204,bbejeck/sql-for-lucene,4.0.0,1,4.5
205,52Jolynn/SqlParser,4.0.0,1,4.2.2
206,bohnman/squiggly,4.0.0,1,4.6
207,Intel-bigdata/SSM,4.0.0,1,4.6
208,strongbox/strongbox,4.0.0,1,4.6
209,HotelsDotCom/styx,4.0.0,1,4.6
210,marcelganczak/swift-js-transpiler,4.0.0,1,4.6
211,apache/syncope,4.0.0,1,4.6
212,tugraz-isds/systemds,4.0.0,1,${antlr.version}
213,apache/systemml,4.0.0,1,${antlr.version}
214,apache/tajo,4.0.0,1,${antlr.version}
215,konsoletyper/teavm-flavour,4.0.0,1,${antlr.version}
216,rolandhe/thrift-enhancer,4.0.0,1,${antlr.version}
217,bkiers/tiny-language-antlr4,4.0.0,1,${antlr4.version}
218,YigWoo/toys,4.0.0,0,0
219,jAngBridge/ts-parser,4.0.0,1,1.0.8
220,ftomassetti/turin-programming-language,4.0.0,1,1.0.8
221,eugenp/tutorials,4.0.0,0,0
222,GeertjanWielenga/TypeScript,4.0.0,1,4.5.1
223,uber/uberscriptquery,4.0.0,0,0
224,yahoo/validatar,4.0.0,1,4.7
225,visallo/vertexium,4.0.0,1,4.7
226,vespa-engine/vespa,4.0.0,1,4.7
227,SAP/vulnerability-assessment-tool,4.0.0,1,4.7.2
228,eclipse/winery,4.0.0,1,4.7.2
229,data-integrations/wrangler,4.0.0,0,0
230,xap/xap,4.0.0,0,0
231,xqdoc/xqdoc,4.0.0,1,4.7.2
232,opendaylight/yangtools,4.0.0,1,4.7.2
233,nielsbasjes/yauaa,4.0.0,0,0
234,yahoo/yql-plus,4.0.0,1,4.5
235,yesworkflow-org/yw-prototypes,4.0.0,0,0
236,ahmetaa/zemberek-nlp,4.0.0,0,0
